id,citation,url,type,what_it_gives,read_status,used_in
S01,"Temporal patterns and factors associated with early termination in phase 1 clinical trials for solid tumors. JNCI 118(8):1496, 2026.",https://academic.oup.com/jnci/article/118/8/1496/8554092,journal article,Phase 1 termination reasons 2018-2023; sponsor/strategic 51.1%; industry share of terminated trials,"fetched, key numbers extracted","F007, F008"
S02,"Premature termination of early-phase cancer clinical trials: ""It's the economy, stupid!"" JNCI editorial, 2026.",https://academic.oup.com/jnci/article/118/8/1339/8696247,editorial,Framing of strategic terminations as economic,not read,
S03,"Zhang et al. Early termination of oncology clinical trials in the United States. Cancer Medicine, 2023.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10028157/,journal article,"8,687 oncology trials 2007-2015; termination reasons by funding source and phase","fetched, key numbers extracted",F009
S04,"Buergy et al. Unfinished business: terminated cancer trials and the relevance of treatment intent, sponsors and intervention types. Int J Cancer, 2021.",https://onlinelibrary.wiley.com/doi/full/10.1002/ijc.33342,journal article,Business reasons by sponsor type; disclosure rates,snippet only (403 on fetch),F010
S05,"Williams et al. Terminated trials in the ClinicalTrials.gov results database. PLoS One, 2015.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0127242,journal article,905 terminated trials; 68% for reasons other than accumulated data; accrual leading,snippet only,
S06,"Clinical development success rates for durable cell and gene therapies. Nature Reviews Drug Discovery, 2025.",https://www.nature.com/articles/d41573-025-00036-8,analysis,Phase transition probabilities for durable CGT; the clinical-stage benchmark,not read,F017
S07,"Financing and reimbursement of approved advanced therapies in several European countries. Value in Health, 2023.",https://www.valueinhealthjournal.com/article/S1098-3015(23)00005-0/fulltext,journal article,Time to national recommendation 9-17 months EU8; managed entry agreements,snippet only,F012
S08,"Beyond reimbursement status: availability of advanced therapy medicinal products across the European Union, 2025.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12181088/,journal article,Availability by country beyond formal reimbursement,not read,
S09,"Pricing and reimbursement mechanisms for advanced therapy medicinal products in 20 countries, 2023.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10715052/,journal article,Arrangement types by country,not read,
S10,"Addressing clinical uncertainties in ATMP reimbursement: methodological guidelines and European practice. Frontiers in Pharmacology, 2026.",https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2026.1749386/full,review,How assessment bodies handle durability uncertainty; input to the reason schema,not read,
S11,"Utilization of HCT and cellular therapy in Europe using 2022 activity survey data, correlated with economic and demographic factors. Bone Marrow Transplantation, 2024.",https://www.nature.com/articles/s41409-024-02459-0,journal article,CAR-T utilisation by country versus macro factors; closest prior to the cross-country design,not read,
S12,"The 2023 EBMT report on HCT and cellular therapies. Bone Marrow Transplantation, 2025.",https://www.nature.com/articles/s41409-025-02524-2,journal article,"4,888 CAR-T patients in 2023; country tables",snippet only,F013
S13,"Celebrating the registration of 9,000 patients treated with CAR T cells in the EBMT registry, 2024.",https://www.sciencedirect.com/science/article/pii/S1521692624000239,journal article,Registry scale and real-world data collection,snippet only,F013
S14,"IMPACT study: landscape assessment of access and barriers to CD19 CAR-T across Europe. medRxiv, November 2025.",https://www.medrxiv.org/content/10.1101/2025.11.04.25339516.full.pdf,preprint,Access barriers by country for paediatric B-ALL,not read,
S15,"Investigating CAR-T treatment access for multiple myeloma patients using real-world evidence, 2025.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12047940/,journal article,US access analysis for myeloma CAR-T,not read,
S16,"Durable cell and gene therapy potential patient and financial impact: US projections of product approvals, patients treated, and product revenues. Drug Discovery Today, 2021.",https://www.sciencedirect.com/science/article/pii/S1359644621003901,journal article,The 2021 demand projection to compare against the realized record,snippet only,F015
S17,"Forecasting the potential impact of cell and gene therapies in France: projecting product launches and patients treated, 2024.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10910012/,journal article,France 2023-2030 projection,snippet only,F015
S18,"Commercial performance of AAV gene therapies: market review and future implications. Recon Strategy, February 2025.",https://reconstrategy.com/2025/02/commercial-performance-of-aav-gene-therapies-market-review-and-future-implications/,consultancy note,Product-level patient counts and launch comparisons,snippet only,F014
S19,"Commercial viability gap in cell and gene therapy. Oliver Wyman, May 2024.",https://www.oliverwyman.com/our-expertise/insights/2024/may/commercial-viability-gap-in-cell-and-gene-therapy.html,consultancy note,Industry framing of the viability gap,not read,
S20,Cell and gene therapy pipeline deep dive. Tufts NEWDIGS Center for Biomedical System Design.,https://newdigs.tuftsmedicalcenter.org/payingforcures/defining-disruption/cell-and-gene-therapy-products-and-pipeline/cgt-pipeline-deep-dive/,web resource,Pipeline and treatable-population projections,snippet only,F015
S21,"Gene therapy in the real world: high priced, a long process and still relatively few patients. Managed Healthcare Executive, ASH 2025.",https://www.managedhealthcareexecutive.com/view/gene-therapy-in-the-real-world-high-priced-a-long-process-and-still-relatively-few-patients-ash-2025,trade press,Pointer to ASH 2025 real-world uptake abstracts,not read,
S22,FDA. Approved cellular and gene therapy products. Page dated 18 August 2026.,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/approved-cellular-and-gene-therapy-products,regulator list,Cohort membership; links to product pages with approval dates,fetched 2026-09-04,F016
S23,"EFPIA Patients W.A.I.T. Indicator, latest edition.",,industry report,Time to availability by European country,to locate,
