year_seed,event,event_type,manufacturing_model,products,status,source,verified_date
2018,Novartis acquires AveXis,acquisition,AAV systemic,Zolgensma,seeded-from-memory,,
2019,Roche acquires Spark Therapeutics,acquisition,AAV,Luxturna,seeded-from-memory,,
2019,Astellas acquires Audentes,acquisition,AAV systemic,,seeded-from-memory,,
2021,bluebird bio spins off 2seventy bio,restructuring,lentiviral ex vivo; CAR-T,"Zynteglo, Skysona, Abecma",seeded-from-memory,,
2023,Kyowa Kirin acquires Orchard Therapeutics,acquisition,lentiviral ex vivo,Libmeldy,seeded-from-memory,,
2024,Roche restructures Spark,retreat,AAV,Luxturna,seeded-from-memory,,
2025,Pfizer discontinues Beqvez and exits gene therapy,retreat,AAV systemic,Beqvez,seeded-from-memory,,
2025,Bristol Myers Squibb acquires 2seventy bio,acquisition,autologous CAR-T,Abecma,seeded-from-memory,,
2025,bluebird bio acquired by Carlyle and SK Capital,acquisition,lentiviral ex vivo,"Zynteglo, Skysona, Lyfgenia",seeded-from-memory,,
2025,Eli Lilly acquires Verve Therapeutics,acquisition,in vivo LNP base editing,,seeded-from-memory,,
2025,AstraZeneca acquires EsoBiotec,acquisition,in vivo CAR-T,,seeded-from-memory,,
2025,AbbVie acquires Capstan Therapeutics,acquisition,in vivo CAR-T,,seeded-from-memory,,
2025,Gilead / Kite acquires Interius BioTherapeutics,acquisition,in vivo CAR-T,,seeded-from-memory,,
2025,Sarepta restructuring after Elevidys safety events,retreat,AAV systemic,Elevidys,seeded-from-memory,,
2025,BioMarin explores options for Roctavian,retreat,AAV systemic,Roctavian,seeded-from-memory,,
